id,support,typeDataOfPeriod,typeOfSupport,typeOfBuisness,typeOfActivity,regionOfSupport,whereToGet
19,. Центр поддержки предпринимательства оказывает бесплатное консультирование по вопросам маркетингового сопровождения деятельности и бизнес-планирования,,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
20,,,,"Юридическое лицо, Индивидуальный предприниматель",28.1 Производство машин и оборудования общего назначения,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
21,,Неизвестно,,"Юридическое лицо, Индивидуальный предприниматель",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
22,,Неизвестно,,"Юридическое лицо, Индивидуальный предприниматель",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
23,Услуга по разработке финансовой модели и/или бизнес-плана индивидуальным предпринимателям. Услуга включает в себя разработку финансовой модели и/или бизнеса плана для индивидуальных предпринимателей,Подача заявок приостановлена 01.11.2024,"Деньги
Консультирование
Доступно онлайн",Индивидуальный предприниматель,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
24,"Субсидии российским производителям на компенсацию части затрат, связанных с выпуском и поддержкой гарантийных обязательств в отношении высокопроизводительной сельскохозяйственной самоходной и прицепной техники",Подача заявок приостановлена 15.10.2024,Деньги,"Юридическое лицо, Индивидуальный предприниматель",28.30 Производство машин и оборудования для сельского и лесного хозяйства,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
25,,,,"Юридическое лицо, Индивидуальный предприниматель","01.13.1 Выращивание овощей
01.13.11 Выращивание овощей открытого грунта
01.42.1 Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.
01.47.2 Производство яиц сельскохозяйственной птицы
10.11.3 Производство мяса и пищевых субпродуктов в замороженном виде
10.12.2 Производство мяса птицы в замороженном виде
10.32 Производство соковой продукции из фруктов и овощей
10.4 Производство растительных и животных масел и жиров
10.41 Производство масел и жиров
10.41.4 Производство жмыха и муки тонкого и грубого помола из семян или плодов масличных культур
10.5 Производство молочной продукции
10.51.2 Производство сливочного масла, топленого масла, масляной пасты, молочного жира, спредов и топленых сливочно-растительных смесей
10.52 Производство мороженого
10.61.2 Производство муки из зерновых культур
10.61.3 Производство крупы и гранул из зерновых культур
10.71 Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения
10.72 Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения
10.81.11 Производство сахара из сахарной свеклы
10.82 Производство какао, шоколада и сахаристых кондитерских изделий
10.82.3 Производство кондитерских изделий из сахара
10.82.5 Производство засахаренных фруктов, орехов, цукатов из кожуры и прочих частей растений
10.83 Производство чая и кофе
10.91.1 Производство готовых кормов (смешанных и несмешанных), кроме муки и гранул из люцерны, для животных, содержащихся на фермах
11 Производство напитков
11.06 Производство солода
11.07.2 Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
26,,,,"Юридическое лицо, Индивидуальный предприниматель","01 Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях
02 Лесоводство и лесозаготовки",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
27,,,,"Юридическое лицо, Индивидуальный предприниматель","01 Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях
10.32 Производство соковой продукции из фруктов и овощей
10.41 Производство масел и жиров
11.0 Производство напитков
11.07 Производство безалкогольных напитков; производство минеральных вод и прочих питьевых вод в бутылках
82.92 Деятельность по упаковыванию товаров",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
28,,,,"Юридическое лицо, Индивидуальный предприниматель","10 Производство пищевых продуктов
11 Производство напитков
13 Производство текстильных изделий
14 Производство одежды
15 Производство кожи и изделий из кожи
16 Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения
17 Производство бумаги и бумажных изделий
18 Деятельность полиграфическая и копирование носителей информации
19 Производство кокса и нефтепродуктов
20 Производство химических веществ и химических продуктов
21 Производство лекарственных средств и материалов, применяемых в медицинских целях
22 Производство резиновых и пластмассовых изделий
23 Производство прочей неметаллической минеральной продукции
24 Производство металлургическое
25 Производство готовых металлических изделий, кроме машин и оборудования
26 Производство компьютеров, электронных и оптических изделий
27 Производство электрического оборудования
28 Производство машин и оборудования, не включенных в другие группировки
28.1 Производство машин и оборудования общего назначения
29 Производство автотранспортных средств, прицепов и полуприцепов
30 Производство прочих транспортных средств и оборудования
31 Производство мебели
32 Производство прочих готовых изделий
33 Ремонт и монтаж машин и оборудования",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
29,". Услуга предоставляется индивидуальному предпринимателю по следующим направлениям:
- доработка/разработка фирменного стиля; 
- разработка, печать и изготовление POS материалов; 
- создание многостраничного сайта или лендинга; 
- дизайн презентации, медиа-кита; 
- разработка, изготовление рекламной продукции; 
- разработка, изготовление фото, -видеоконтента (промороликов)",,,Индивидуальный предприниматель,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
30,". Центр поддержки предпринимательства оказывает содействие в подаче заявки на регистрацию товарного знака, знаков обслуживания, программных продуктов и баз данных в ФСИС (Роспатент)",,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
31,,Неизвестно,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
32,,Неизвестно,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
33,Подберите локацию и получите бесплатный анализ рынка и расчеты для бизнес-планирования по 160+ видам деятельности,Неизвестно,"Маркетинг и продвижение
Консультирование
Доступно онлайн",Самозанятые,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
34,25 автоматизированных инструментов для быстрого старта или роста вашего бизнеса,Неизвестно,"Обучение
Доступно онлайн",Самозанятые,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
35,"Услуга по разработке сайтов, рекламной продукции, бренда самозанятым гражданам. Услуга предоставляется самозанятому гражданину по следующим направлениям:
- доработка/разработка фирменного стиля; 
- разработка, печать и изготовление POS материалов; 
- создание многостраничного сайта или лендинга; 
- дизайн презентации, медиа-кита; 
- разработка, изготовление рекламной продукции; 
- разработка, изготовление фото, -видеоконтента (промороликов)",Подача заявок приостановлена 02.11.2024,"Маркетинг и продвижение
Консультирование
Доступно онлайн",Самозанятый ФЛ,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
36,Услуга по разработке финансовой модели и/или бизнес-плана самозанятым гражданам. Услуга включает в себя разработку финансовой модели и/или бизнеса плана для самозанятых граждан,Подача заявок приостановлена 01.11.2024,"Деньги
Консультирование
Доступно онлайн",Самозанятый ФЛ,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
37,"Услуга по содействию участию в закупках самозанятым гражданам. Услуга предоставляется самозанятому гражданину по следующим направлениям:
- консультирование по вопросам участия в закупках, предусмотренных преференциях в соответствии с действующим федеральных законодательством (Федеральный закон от 18 июля 2011 г. № 223-ФЗ
«О закупках товаров, работ, услуг отдельными видами юридических лиц», постановление Правительства Российской Федерации от 11 декабря 2014 г. № 1352 «Об особенностях участия субъектов малого и среднего предпринимательства в закупках товаров, работ, услуг отдельными видами юридических лиц»), а также по иным вопросам в целях содействия участию в закупках;
- информирование об обучающих программах в сфере закупок;
- подбор номенклатуры товаров, работ, услуг в виде графического и текстового описания.",Подача заявок приостановлена 25.09.2023,"Маркетинг и продвижение
Консультирование
Доступно онлайн",Самозанятый ФЛ,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
38,"Консультирование ИП, Юридических лиц и самозанятых по вопросам бюджетирования, налогообложения, бух. учета, составления отчетности, привлечению инвестиций и займов. Центр поддержки предпринимательства оказывает бесплатное консультирование по вопросам финансового планирования деятельности",Подача заявок приостановлена 15.11.2024,"Деньги
Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
39,"Консультирование ИП, Юридических лиц и самозанятых по разработке маркетинговой стратегии и планов, организации системы сбыта продукции, определению структуры бизнеса и процесса планирования, организации рекламных компаний, PR-сопровождению. Центр поддержки предпринимательства оказывает бесплатное консультирование по вопросам маркетингового сопровождения деятельности и бизнес-планирования",Подача заявок приостановлена 15.11.2024,"Маркетинг и продвижение
Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
40,"Консультирование ИП, Юридических лиц и самозанятых по составлению и экспертизе типовых договоров, соглашений, учредительных документов, должностных регламентов и инструкций, составлению направляемых в суд типовых документов. Центр поддержки предпринимательства оказывает бесплатное консультирование по вопросам правового обеспечения деятельности",Подача заявок приостановлена 15.11.2024,"Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
41,"Создание фирменного стиля (логотипа и брэнд-бука) для субъектов МСП, а также самозанятых граждан. Центр поддержки предпринимательства разрабатывает фирменный стиль (логотип и брэнд-бук)",Подача заявок приостановлена 15.11.2024,"Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
42,"Проведение кабинетного маркетингового исследования для субъектов МСП, а также самозанятых граждан. Центр поддержки предпринимательства проводит кабинетное маркетинговое исследование",Подача заявок приостановлена 15.11.2024,"Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
43,"Разработка бизнес-плана для соискания инвестиций для субъектов МСП, а также самозанятых граждан. Центр поддержки предпринимательства разрабатывает бизнес-план для соискания инвестиций",Подача заявок приостановлена 15.11.2024,"Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
44,"Подача заявки на регистрацию товарного знака, знаков обслуживания, программных продуктов и баз данных в ФСИС (Роспатент) для субъектов МСП, а также самозанятых граждан. Центр поддержки предпринимательства оказывает содействие в подаче заявки на регистрацию товарного знака, знаков обслуживания, программных продуктов и баз данных в ФСИС (Роспатент)",Подача заявок приостановлена 15.11.2024,"Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
45,Подберите локацию и получите бесплатный анализ рынка и расчеты для бизнес-планирования по 160+ видам деятельности,Неизвестно,"Маркетинг и продвижение
Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
46,Узнайте первыми об изменениях в нормативно-правовых актах,Неизвестно,"Консультирование
Доступно онлайн","Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
47,"Субсидии гражданам, ведущим личное подсобное хозяйство и применяющим специальный налоговый режим 'Налог на профессиональный доход', на возмещение части затрат на производство овощей открытого грунта",Подача заявок приостановлена 23.11.2024,Деньги,"Самозанятый ФЛ, Физическое лицо","01 Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
48,Автоматический запуск рекламы в интернете. На первый запуск + 6 000 ₽ дополнительно к рекламному бюджету,Неизвестно,"Маркетинг и продвижение
Консультирование
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
49,"Вся важная информация, сервисы и меры поддержки для самозанятых и тех, кто планирует ими стать",Неизвестно,"Консультирование
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
50,Интенсивная работа над вашим бизнесом вместе с трекерами – экспертами про кратному росту бизнеса. Достигайте целей еще быстрее,Неизвестно,"Обучение
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
51,"Индивидуальная поддержка наставников. Прорабатывайте ваши вопросы, сомнения и идеи на личной встрече, черпайте вдохновение, внедряйте изменения",Неизвестно,"Обучение
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
52,"Проверенные эксперты — в формате онлайн и офлайн. Посещайте мероприятия, подобранные именно для вас, получайте практические знания от опытных предпринимателей, будьте частью бизнес-сообщества",Неизвестно,"Обучение
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
53,Компетенции — основа вашего бизнеса. Пройдите тестирование и узнайте свои сильные стороны и потенциал для развития,Неизвестно,"Обучение
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
54,Вносите актуальные изменения в сведения о вашем бизнесе в ЕГРЮЛ / ЕГРИП,Неизвестно,Доступно онлайн,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
55,"Нормы и правила, необходимые для безопасной работы",Неизвестно,Доступно онлайн,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
56,"Подберите недвижимость для покупки или аренды, в том числе на льготных условиях",Неизвестно,"Консультирование
Имущество
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
57,Юристы Корпорации МСП помогут разобраться в ситуации и разъяснят юридические особенности ведения бизнеса,Неизвестно,Доступно онлайн,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
58,Все для быстрого запуска своего дела с государственной поддержкой — на МСП.РФ,Неизвестно,"Консультирование
Доступно онлайн","Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
59,Автоматический запуск рекламы в интернете. На первый запуск + 6 000 ₽ дополнительно к рекламному бюджету,Неизвестно,"Маркетинг и продвижение
Консультирование
Доступно онлайн",Физические лица,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
60,"Узнайте актуальную статистику и аналитику для оценки, прогнозирования и бизнес-планирования",Неизвестно,"Консультирование
Доступно онлайн",Физические лица,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
61,Поможем оформить ЭЦП для физических и юридических лиц,Неизвестно,"Консультирование
Доступно онлайн",Физические лица,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
62,Поможем заполнить анкету и отправим одну заявку сразу в несколько банков — получите самое выгодное предложение.,Неизвестно,"Деньги
Доступно онлайн",Физические лица,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
63,Узнайте первыми об изменениях в нормативно-правовых актах,Неизвестно,"Консультирование
Доступно онлайн",Физические лица,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
64,Получение в лизинг оборудования на льготных условиях,Неизвестно,"Деньги
Доступно онлайн",Физические лица,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
65,". Центр поддержки предпринимательства оказывает бесплатное консультирование физических лиц, планирующих осуществление предпринимательской деятельности",,,Физическое лицо,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
66,". Услуга включает в себя разработку финансовой модели и/или бизнеса плана для физических лиц, планирующих осуществление предпринимательской деятельности",,,Физическое лицо,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
67,". Услуга предоставляется физическому лицу, планирующему осуществление предпринимательской деятельности, по следующим направлениям:
- консультирование по вопросам участия в закупках, предусмотренных преференциях в соответствии с действующим федеральных законодательством (Федеральный закон от 18 июля 2011 г. № 223-ФЗ
«О закупках товаров, работ, услуг отдельными видами юридических лиц», постановление Правительства Российской Федерации от 11 декабря 2014 г. № 1352 «Об особенностях участия субъектов малого и среднего предпринимательства в закупках товаров, работ, услуг отдельными видами юридических лиц»), а также по иным вопросам в целях содействия участию в закупках;
- информирование об обучающих программах в сфере закупок;
- подбор номенклатуры товаров, работ, услуг в виде графического и текстового описания.",,,Физическое лицо,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
68,,,,"Самозанятый ФЛ, Физическое лицо","01 Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
69,,,,"Самозанятый ФЛ, Физическое лицо","01 Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
70,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
71,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
72,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
73,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
74,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
75,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
76,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
77,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
78,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
79,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
80,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
81,,Неизвестно,,"Самозанятый ФЛ, Физическое лицо",Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
